Time	UnemploymentPercentage
1998Q1	11.8 
1998Q2	10.8 
1998Q3	10.8 
1998Q4	11.4 
1999Q1	12.2
1999Q2	11.9
1999Q3	11.7 
1999Q4	12.7 
2000Q1	12.3 
2000Q2	11.2 
2000Q3	10.9 
2000Q4	11.0 
2001Q1	11.2 
2001Q2	10.4 
2001Q3	10.2 
2001Q4	11.2 
2002Q1	11.4 
2002Q2	9.9 
2002Q3	9.8 
2002Q4	10.2 
2003Q1	10.4 
2003Q2	9.3 
2003Q3	9.3 
2003Q4	9.9 
2004Q1	11.3 
2004Q2	10.2 
2004Q3	10.1 
2004Q4	10.4 
2005Q1	10.4 
2005Q2	9.6 
2005Q3	9.7 
2005Q4	9.7 
2006Q1	9.7 
2006Q2	8.8 
2006Q3	8.3 
2006Q4	8.8
2007Q1	9.1 
2007Q2	8.1 
2007Q3	7.9 
2007Q4	8.1 
2008Q1	8.3 
2008Q2	7.2 
2008Q3	7.2
2008Q4	7.9 
2009Q1	9.3 
2009Q2	8.9
2009Q3	9.3
2009Q4	10.3 
2010Q1	11.7 
2010Q2	11.8
2010Q3	12.4
2010Q4	14.2 
2011Q1	15.9 
2011Q2	16.3
